銘柄コード,銘柄名,市場区分,セクター,保有数量,取得単価,現在価格,評価額,損益,損益率,通貨,取得日,配当利回り
7203,トヨタ自動車,東証プライム,自動車・輸送機,100,2500,3200,320000,70000,28.00,JPY,2023-01-15,2.5
9432,日本電信電話,東証プライム,情報・通信,50,3800,4100,205000,15000,7.89,JPY,2023-03-10,3.2
8306,三菱UFJフィナンシャルG,東証プライム,銀行・金融,200,800,950,190000,30000,18.75,JPY,2022-11-05,4.1
6758,ソニーグループ,東証プライム,電気機器,30,10500,12200,366000,51000,16.19,JPY,2023-05-20,0.8
4755,楽天グループ,東証プライム,サービス,150,600,520,78000,-12000,-10.00,JPY,2023-07-08,0.5
2802,味の素,東証プライム,食品,80,4200,4500,360000,24000,7.14,JPY,2022-12-22,1.9
8035,東京エレクトロン,東証プライム,電気機器,5,45000,50000,250000,25000,11.11,JPY,2023-08-30,1.3
9984,ソフトバンクグループ,東証プライム,情報・通信,40,5200,4800,192000,-16000,-7.69,JPY,2023-02-18,1.0
4502,武田薬品工業,東証プライム,医薬品,60,3900,4200,252000,18000,7.69,JPY,2023-04-05,3.8
9433,KDDI,東証プライム,情報・通信,70,4100,4350,304500,17500,6.10,JPY,2022-10-12,3.5